name,threshold,tp,fp,tn,fn,precision,recall,f1,map50
fixed_threshold_0.1,0.1,198,1578,0,0,0.111486,1.0,0.200608,0.095353
fixed_threshold_0.2,0.2,124,559,1019,74,0.181552,0.626263,0.281498,0.085012
fixed_threshold_0.3,0.3,86,306,1272,112,0.219388,0.434343,0.291525,0.074454
fixed_threshold_0.4,0.4,66,195,1383,132,0.252874,0.333333,0.287582,0.067695
fixed_threshold_0.5,0.5,54,126,1452,144,0.3,0.272727,0.285714,0.05949
fixed_threshold_0.6,0.6,40,86,1492,158,0.31746,0.20202,0.246914,0.047437
fixed_threshold_0.7,0.7,32,57,1521,166,0.359551,0.161616,0.222997,0.038896
fixed_threshold_0.8,0.8,16,27,1551,182,0.372093,0.080808,0.13278,0.02349
fixed_threshold_0.9,0.9,2,6,1572,196,0.25,0.010101,0.019417,0.006222
mllm_agentic_workflow,,161,349,1229,37,0.315686,0.813131,0.454802,0.144285
